,,(Click),(Show),1=2=3=,ioskey,googlekey,ioskeyus,,,id,,,adjustgg,,UIID,,,,,,,,,,,,,,,,
PayKey,iosAdjustkey1,iosAdjustkey2,iosAdjustkey3,iType,ioskey,googlekey,ioskeyus,xiaowo,toolname,payid,zhuanshi1,zhuanshi2,adjustgg,desc,UIID,iMoney,iMoneyios,iMoneyiosen,inumber,iLoveInfinite,ilove,igold,igb,skill1,skill2,skill3,skill4,skill5,skill6,skill7,
Bubble_GOLD1,o6j2qj,3a3ko6,yrpztr,1,Diamond6,com.enp.bubble.bubble.pop.diamond200,Diamond6_US,1,TOOL2,1,200,0,,x200,0,12,12,1.99,200,0,0,200,0,0,0,0,0,0,0,0,
Bubble_GOLD2,xh7ad0,71oxx4,atu4o4,1,Diamond18,com.enp.bubble.bubble.pop.diamond600,Diamond18_US,3,TOOL4,3,600,20,,x600,0,30,30,4.99,600,0,0,600,0,0,0,0,0,0,0,0,
Bubble_GOLD3,qqnsjx,qrfvry,70kruk,1,Diamond30,com.enp.bubble.bubble.pop.diamond1300,Diamond30_US,2,TOOL3,2,1300,30,jm5t1e,x1300,0,68,68,9.99,1300,0,0,1300,0,0,0,0,0,0,0,0,
Bubble_GOLD4,owuh0e,bxmtii,hsyxgm,1,Diamond68,com.enp.bubble.bubble.pop.diamond3000,Diamond68_US,,TOOL,4,3000,50,jm5t1e,x3000,0,128,128,19.99,3000,0,0,3000,0,0,0,0,0,0,0,0,
Bubble_GOLD5,up4gg4,ln2k58,qykkfe,1,Diamond128,com.enp.bubble.bubble.pop.diamond10000,Diamond128_US,,TOOL,5,10000,100,281os5,x10000,0,328,328,49.99,10000,0,0,10000,0,0,0,0,0,0,0,0,
Bubble_GOLD6,i4ws6i,ax5bzy,92tgpg,1,Diamond_328,com.enp.bubble.princess.pop.diamond10388,Diamond_328_US,,TOOL,51,8200,2188,ixivmu,x10388,0,328,328,49.99,10388,16,0,10388,0,0,0,0,0,0,0,0,
yiyuantehuilibao,2j3pj6,ymk99m,akw3g0,4,Gift_1,,Gift_1_US,22,TOOL21,6,,,,1,4,1,1,0.99,1,0,0,0,0,0,0,0,0,0,0,0,
Bubble_LB4,2rjsjz,5c4irp,w6brfy,2,Gift_Heart_6,com.enp.bubble.princess.pop.package1,Gift_Heart_6_US,5,TOOL5,7,,,nxac4o,,0,6,6,0.99,1,0,60,0,0,0,0,0,0,0,0,0,
Bubble_LB1,24cjpv,iqpn98,jj5i8u,2,Gift_6,com.enp.bubble.princess.pop.package2,Gift_6_US,6,TOOL6,8,,,an73pf,A,0,6,6,0.99,1,0,0,0,0,2,2,1,0,0,0,0,
Bubble_LB2,n0hss8,1djl1i,mkaapm,2,Gift_18,com.enp.bubble.princess.pop.package3,Gift_18_US,21,TOOL9,9,,,s4r6xj,,0,18,18,2.99,1,0,0,0,0,3,0,0,3,3,3,0,
Bubble_LB3,xm2rzu,g7m125,dy12hc,2,Gift_30,com.enp.bubble.princess.pop.package4,Gift_30_US,8,TOOL8,10,,,mq0ml3,,0,30,30,4.99,1,0,0,0,0,0,0,5,5,5,5,0,
GameSkill4,vf6oeq,bxg6ev,1dphup,3,Prop_boom,com.enp.bubble.princess.pop.prop1,Prop_boom_US,10,TOOL10,11,,,,,1,3,3,0.99,1,0,0,0,0,0,0,0,0,0,1,0,
GameSkill5,55t09g,6pxqzb,bru008,3,Prop_Magic,com.enp.bubble.princess.pop.prop2,Prop_Magic_US,11,TOOL23,12,,,,,1,4,3,0.99,1,0,0,0,0,0,0,0,1,0,0,0,
GameSkill6,g0in04,t7yx7m,2e0dqx,3,Prop_Elf,com.enp.bubble.princess.pop.prop3,Prop_Elf_US,12,TOOL22,13,,,,,1,3,3,0.99,1,0,0,0,0,0,0,0,0,1,0,0,
BuyGang1,oqn7s1,iafz3l,58juf7,4,Prop_Gift_Skill_Lighting,com.enp.bubble.princess.pop.skill1,Prop_Gift_Skill_Lighting_US,13,TOOL13,14,,,,,4,3,3,0.99,1,0,0,0,0,0,0,0,0,0,0,0,
BuyGang2,plqo86,z4f7ws,5w2pqm,4,Prop_Gift_Skill_Fire,com.enp.bubble.princess.pop.skill2,Prop_Gift_Skill_Fire_US,14,TOOL14,15,,,,,4,3,3,0.99,1,0,0,0,0,0,0,0,0,0,0,0,
