,min,min2,max,
level,min1,min2,max,
1,Tap to shoot bubble!,kong,Match 3!be careful!,
2,kong,kong,Match 3 same color bubbles to save elf!,
3,Tap to switch bubble!,kong,kong,
4,Rebound bubble to different angles!,kong,kong,
5,Drop into jar to supply power!,Tap the jar!use skills!,Fire bubble make huge boom!,
7,Hit fire bubbles to boom!,kong,kong,
8,Click the empty jar!buy skills!,kong,kong,
9,Drop into jar to supply power!,kong,Vines bubble will growing up!,
11,Hit vines bubble to grow up!,kong,kong,
12,Combine 2 jars to power skill!,kong,Combine skills will be different depending on your choice of jars!,
13,kong,kong,Stones can not be broken but can be dropping!,
15,kong,kong,Refractor make you more accurate!,
16,kong,kong,Super bubble launcher can choose 1 in 3 bubbles!,
17,kong,kong,Bomb bubble can clear some obstacles for you!,
19,Drop into jar to supply power!,kong,Flash bubble can clear a whole line bubbles!,
21,Hit flash bubble to lighting!,kong,kong,
23,Combine 3 jars to boom!,kong,3 Combine will have a large area of explosion!,
24,Drop into jar to supply power!,kong,Frost jar can shoot 3 ice bubbles one time!,
26,Combine all jars to boom!,kong,Combine all jars will clear all!,
31,kong,kong,Mirror bubble can copy color!,
41,kong,kong,Watch out for sharp bubbles!,
51,kong,kong,Color bubble can switch color randomly each round!,
61,kong,kong,Shoot bubble to smash ice bubble!,
71,kong,kong,Shoot bubble to cross air bubble!,
