Key,FontSize,,,,"X,Y",,,,,
Key,FontSize,outline,outColor,Color,VerifyLocal,FaceTexture2D,characterSpacing,ID_OutlineSoftness,ID_FaceDilate,
Login_Play,48,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,Play
Login_FaceBookConn,48,0.38,13-90-173,255-255-255,35|0,,1,0,0.5,FaceBook
MapNameRemark1,30,0.38,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark2,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark3,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark4,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark5,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark6,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark7,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark8,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark9,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark10,30,0.48,147-61-16,255-255-255,0|0,,5,0,0.5,
MapNameRemark11,30,0.48,147-61-16,255-255-255,0|0,,1,0,0.5,
MapNameRemark12,30,0.48,147-61-16,255-255-255,0|0,,1,0,0.5,
AdAwardTitle,40,0.48,108-42-164,255-255-255,0|0,,4,0,0,
AdAwardRemark1,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark2,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark3,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark4,36,0,0-0-0,160-87-8,0|0,,1,0,0.5,
BuyBubbleTtitle,40,0.38,108-42-164,255-255-255,0|0,,1,0,0.6,
BuyBubbleRemark,36,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGangTitle,40,0.38,108-42-164,255-255-255,0|0,,1,0,0.6,
BuyGangTypeRemarkLeft,34,0.38,163-65-0,255-255-255,0|0,,1,0,0.4,
BuyGangTypeRemark1,30,0.38,24-87-150,255-255-255,0|0,,1,0,0,
BuyGangTypeRemark2,30,0.38,24-87-150,255-255-255,0|0,,1,0,0.5,
BuyGangTypeRemark3,30,0.38,24-87-150,255-255-255,0|0,,1,0,0.5,
BuyGangTypeRemark4,30,0.38,24-87-150,255-255-255,0|0,,1,0,0.5,
BuyGangRemark1,40,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGangRemark2,40,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGangRemark3,40,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGangRemark4,40,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGoldTitle,40,0.38,108-42-164,255-255-255,0|0,,0,0,0.6,
BuyLivesTitle,40,0.38,108-42-164,255-255-255,0|0,,0,0,0.5,
BuyLivesTimeCalcRemark,36,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyLivesRemark,36,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyLivesAskFriends,30,0.38,13-90-173,255-255-255,0|0,,3,0,0.3,
BuyLivesbtn,30,0.38,15-111-2,255-255-255,0|0,,3,0,0.3,
BuySkillTitle,40,0.38,108-42-164,255-255-255,0|0,,1,0,0.4,
BuySkillRemark1,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark2,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark3,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark4,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark5,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark6,30,0,0-0-0,160-87-8,0|0,,0,0,0,
FaceBookRankOpenUIOK,48,0.38,15-111-2,255-255-255,0|0,,0,0,0.5,OK
FaceBookRankOpenUIShare,48,0.38,13-90-173,255-255-255,40|0,,2,0,0.5,Share
GuideMaxNext,48,0.38,15-111-2,255-255-255,0|0,,0,0,0.5,
GuideMaxTitle,40,0.38,108-42-164,255-255-255,0|0,,0,0,0.5,
GuideMaxRemark1,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark2,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark3,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark4,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark5,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark7,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark8,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark9,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark10,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark11,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark12,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark13,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark14,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark18,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark28,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark19,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark21,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark22,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark23,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark24,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark26,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark31,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark41,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark51,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark61,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark71,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark101,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMaxRemark131,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark1,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark2,38,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark3,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark4,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark5,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark7,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark8,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark9,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark11,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark12,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark13,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark15,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark16,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark17,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark19,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark21,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark23,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark24,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark26,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark31,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark41,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark51,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark61,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin1Remark71,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin2Remark1,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin2Remark2,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin2Remark3,36,0,0-0-0,160-81-10,0|0,,1,0,0,
GuideMin2Remark4,36,0,0-0-0,160-81-10,0|0,,1,0,0,
