Key,FontSize,,,,"X,Y",,,,,
Key,FontSize,outline,outColor,Color,VerifyLocal,FaceTexture2D,characterSpacing,ID_OutlineSoftness,ID_FaceDilate,
Login_Play,48,0.18,15-111-2,255-255-255,0|5,,4,0,0.2,Play
Login_FaceBookConn,48,0.18,13-90-173,255-255-255,35|0,,1,0,0.2,FaceBook
MapNameRemark1,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark2,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark3,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark4,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark5,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark6,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark7,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark8,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark9,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark10,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark11,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
MapNameRemark12,30,0.18,147-61-16,255-255-255,0|0,,2,0,0.2,
AdAwardTitle,40,0.28,108-42-164,255-255-255,0|5,,4,0,0,
AdAwardRemark1,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark2,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark3,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark4,36,0,0-0-0,160-87-8,0|0,,1,0,0.2,
BuyBubbleTtitle,40,0.18,108-42-164,255-255-255,0|5,,0,0,0.2,
BuyBubbleRemark,28,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyGangTitle,40,0.18,108-42-164,255-255-255,0|5,,1,0,0.2,
BuyGangTypeRemarkLeft,34,0.18,163-65-0,255-255-255,10|0,,0,0,0.2,
BuyGangTypeRemark1,30,0.18,24-87-150,255-255-255,20|0,,1,0,0.2,
BuyGangTypeRemark2,30,0.18,24-87-150,255-255-255,20|0,,1,0,0.2,
BuyGangTypeRemark3,30,0.18,24-87-150,255-255-255,20|0,,1,0,0.2,
BuyGangTypeRemark4,30,0.18,24-87-150,255-255-255,20|0,,1,0,0.2,
BuyGangRemark1,26,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyGangRemark2,26,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyGangRemark3,26,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyGangRemark4,26,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyGoldTitle,40,0.18,108-42-164,255-255-255,0|5,,0,0,0.3,
BuyLivesTitle,40,0.18,108-42-164,255-255-255,0|5,,0,0,0.2,
BuyLivesTimeCalcRemark,36,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyLivesRemark,36,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyLivesAskFriends,30,0.18,13-90-173,255-255-255,0|0,,3,0,0.3,
BuyLivesbtn,30,0.18,15-111-2,255-255-255,0|0,,3,0,0.3,
BuySkillTitle,40,0.18,108-42-164,255-255-255,0|5,,1,0,0.2,
BuySkillRemark1,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark2,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark3,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark4,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark5,30,0,0-0-0,160-87-8,0|0,,0,0,0,
BuySkillRemark6,30,0,0-0-0,160-87-8,0|0,,0,0,0,
FaceBookRankOpenUIOK,48,0.18,15-111-2,255-255-255,0|0,,0,0,0.2,OK
