Key,FontSize,,,,"X,Y",,,,,
Key,FontSize,outline,outColor,Color,VerifyLocal,FaceTexture2D,characterSpacing,ID_OutlineSoftness,ID_FaceDilate,
Login_Play,48,0.38,15-111-2,255-255-255,0|0,,4,0,0.5,Play
Login_FaceBookConn,48,0.38,13-90-173,255-255-255,35|0,,1,0,0.5,FaceBook
MapNameRemark1,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark2,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark3,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark4,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark5,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark6,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark7,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark8,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark9,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark10,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark11,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
MapNameRemark12,36,0.38,147-61-16,255-255-255,0|0,,2,0,0.5,
AdAwardTitle,40,0.48,108-42-164,255-255-255,0|0,,4,0,0,
AdAwardRemark1,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark2,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark3,36,0,0-0-0,160-87-8,0|0,,1,0,0,
AdAwardRemark4,36,0,0-0-0,160-87-8,0|0,,1,0,0.5,
BuyBubbleTtitle,34,0.28,108-42-164,255-255-255,0|0,,1,0,0.6,
BuyBubbleRemark,30,0,0-0-0,160-87-8,0|0,,1,0,0.3,
BuyGangTitle,40,0.38,108-42-164,255-255-255,0|0,,1,0,0.6,
BuyGangTypeRemarkLeft,34,0.38,163-65-0,255-255-255,0|0,,1,0,0.4,
BuyGangTypeRemark1,30,0.38,24-87-150,255-255-255,0|0,,1,0,0,
BuyGangTypeRemark2,30,0.38,24-87-150,255-255-255,0|0,,1,0,0.5,
BuyGangTypeRemark3,30,0.38,24-87-150,255-255-255,0|0,,1,0,0.5,
BuyGangTypeRemark4,30,0.38,24-87-150,255-255-255,0|0,,1,0,0.5,
BuyGangRemark1,40,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGangRemark2,40,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGangRemark3,40,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGangRemark4,40,0,0-0-0,160-87-8,0|0,,1,0,0,
BuyGoldTitle,40,0.38,108-42-164,255-255-255,0|0,,0,0,0.6,
BuyLivesTitle,32,0.28,108-42-164,255-255-255,0|0,,0,0,0.6,
BuyLivesTimeCalcRemark,36,0,0-0-0,160-87-8,0|0,,0,0,0,
BuyLivesRemark,36,0,0-0-0,160-87-8,0|0,,0,0,0.2,
BuyLivesAskFriends,30,0.38,13-90-173,255-255-255,0|0,,3,0,0.6,
BuyLivesbtn,30,0.38,15-111-2,255-255-255,0|0,,3,0,0.6,
BuySkillTitle,40,0.38,108-42-164,255-255-255,0|0,,1,0,0.4,
BuySkillRemark1,30,0,0-0-0,160-87-8,0|0,,0,0,0.3,
BuySkillRemark2,30,0,0-0-0,160-87-8,0|0,,0,0,0.3,
BuySkillRemark3,30,0,0-0-0,160-87-8,0|0,,0,0,0.3,
BuySkillRemark4,30,0,0-0-0,160-87-8,0|0,,0,0,0.3,
BuySkillRemark5,30,0,0-0-0,160-87-8,0|0,,0,0,0.3,
BuySkillRemark6,30,0,0-0-0,160-87-8,0|0,,0,0,0.3,
FaceBookRankOpenUIOK,48,0.38,15-111-2,255-255-255,0|0,,0,0,0.5,OK
FaceBookRankOpenUIShare,48,0.38,13-90-173,255-255-255,40|0,,2,0,0.5,Share
GuideMaxNext,48,0.38,15-111-2,255-255-255,0|0,,0,0,0.5,
GuideMaxTitle,40,0.38,108-42-164,255-255-255,0|0,,0,0,0.5,
GuideMaxRemark1,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark2,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark3,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark4,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark5,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark7,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark8,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark9,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark10,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark11,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark12,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark13,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark14,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark18,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark28,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark19,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark21,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark22,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark23,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark24,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark26,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark31,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark41,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
GuideMaxRemark51,38,0,0-0-0,160-81-10,0|0,,1,0,0.1,
