关卡ID,奖励编号,奖励数量,奖励描述,描述
LevelID,RewardID,RewardCount,Remark,描述
19,2,300,闯 关 即 可 获 得 神 秘 礼 包,0
24,1,10,闯 关 即 可 获 得 大 量 体 力,0
33,1,5,闯 关 即 可 获 得 大 量 体 力,0
50,1,10,闯 关 即 可 获 得 大 量 体 力,0
64,4,1,闯 关 即 可 获 得 神 秘 礼 包,0
75,1,5,闯 关 即 可 获 得 大 量 体 力,0
85,1,10,闯 关 即 可 获 得 大 量 体 力,0
106,1,10,闯 关 即 可 获 得 大 量 体 力,0
120,5,1,闯 关 即 可 获 得 神 秘 礼 包,0
133,2,500,闯 关 即 可 获 得 神 秘 礼 包,0
153,1,5,闯 关 即 可 获 得 大 量 体 力,0
168,7,1,闯 关 即 可 获 得 神 秘 礼 包,0
187,3,15,闯 关 即 可 获 得 大 量 钻 石,0
202,5,1,闯 关 即 可 获 得 神 秘 礼 包,0
223,3,10,闯 关 即 可 获 得 大 量 钻 石,0
238,11,1,闯 关 即 可 获 得 大 量 体 力,0
247,1,10,闯 关 即 可 获 得 大 量 体 力,0
270,7,1,闯 关 即 可 获 得 神 秘 礼 包,0
285,3,40,闯 关 即 可 获 得 大 量 钻 石,0
305,3,50,闯 关 即 可 获 得 大 量 钻 石,0
320,6,1,闯 关 即 可 获 得 神 秘 礼 包,0
334,9,1,闯 关 即 可 获 得 神 秘 礼 包,0
350,3,50,闯 关 即 可 获 得 大 量 钻 石,0
367,5,1,闯 关 即 可 获 得 神 秘 礼 包,0
382,2,800,闯 关 即 可 获 得 神 秘 礼 包,0
400,3,50,闯 关 即 可 获 得 大 量 钻 石,0
418,9,1,闯 关 即 可 获 得 神 秘 礼 包,0
438,5,1,闯 关 即 可 获 得 神 秘 礼 包,0
452,3,40,闯 关 即 可 获 得 大 量 钻 石,0
469,6,1,闯 关 即 可 获 得 神 秘 礼 包,0
488,7,2,闯 关 即 可 获 得 神 秘 礼 包,0
502,3,40,闯 关 即 可 获 得 大 量 钻 石,0
524,7,1,闯 关 即 可 获 得 神 秘 礼 包,0
546,8,1,闯 关 即 可 获 得 神 秘 礼 包,0
559,3,40,闯 关 即 可 获 得 大 量 钻 石,0
576,5,1,闯 关 即 可 获 得 神 秘 礼 包,0
589,6,1,闯 关 即 可 获 得 神 秘 礼 包,0
600,3,40,闯 关 即 可 获 得 大 量 钻 石,0
624,4,2,闯 关 即 可 获 得 神 秘 礼 包,0
641,8,1,闯 关 即 可 获 得 神 秘 礼 包,0
655,3,40,闯 关 即 可 获 得 大 量 钻 石,0
667,5,1,闯 关 即 可 获 得 神 秘 礼 包,0
679,7,2,闯 关 即 可 获 得 神 秘 礼 包,0
692,3,40,闯 关 即 可 获 得 大 量 钻 石,0
