KEY,1,2,3,4,5
key,Pos1,Pos2,Pos3,Pos4,Pos5
1,269-1353,261-1302,0,0,0
2,347-1178,398-1159,0,0,0
3,564-1148,618-1163,0,0,0
4,762-1270,799-1302,0,0,0
5,963-1372,1023-1372,0,0,0
6,1137-1254,1137-1207,0,0,0
7,1063-1077,1025-1045,0,0,0
8,870-986,818-986,0,0,0
9,632-976,581-965,0,0,0
10,0,0,0,0,0
11,475-1823,568-1890,0,0,0
12,601-2113,670-2211,0,0,0
13,938-2211,1038-2129,0,0,0
14,1292-2126,1416-2162,0,0,0
15,1623-2045,1568-1938,0,0,0
16,1644-1766,1742-1696,0,0,0
17,1548-1590,1414-1617,0,0,0
18,1166-1704,1053-1751,0,0,0
19,808-1711,840-1594,0,0,0
20,0,0,0,0,0
21,1259-2204,1319-2163,0,0,0
22,1477-2022,1532-1963,0,0,0
23,1629-1803,1641-1739,0,0,0
24,1464-1622,1393-1589,0,0,0
25,1408-1409,1477-1367,0,0,0
26,1663-1287,1718-1257,0,0,0
27,1794-1128,1731-1111,0,0,0
28,1554-1139,1502-1153,0,0,0
29,1336-1219,1285-1246,0,0,0
30,1121-1331,1071-1371,0,0,0
31,1037-1530,1073-1577,0,0,0
32,1071-1739,993-1787,0,0,0
33,770-1811,683-1783,0,0,0
34,569-1619,590-1545,0,0,0
35,0,0,0,0,0
36,606-2244,665-2199,0,0,0
37,859-2097,943-2097,0,0,0
38,1151-2199,1228-2250,0,0,0
39,1457-2284,1524-2278,0,0,0
40,1656-2154,1633-2092,0,0,0
41,1575-1909,1564-1839,0,0,0
42,1452-1681,1383-1674,0,0,0
43,1178-1756,1095-1770,0,0,0
44,888-1766,816-1782,0,0,0
45,602-1814,539-1807,0,0,0
46,500-1664,542-1595,0,0,0
47,678-1417,751-1388,0,0,0
48,982-1343,1064-1334,0,0,0
49,1290-1289,1371-1270,0,0,0
50,0,0,0,0,0
51,229-1843,212-1899,0,0,0
52,399-1968,466-1997,0,0,0
53,646-2085,650-2154,0,0,0
54,527-2303,474-2344,0,0,0
55,336-2480,296-2538,0,0,0
56,410-2690,481-2683,0,0,0
57,646-2568,700-2519,0,0,0
58,842-2402,888-2356,0,0,0
59,1031-2243,1092-2222,0,0,0
60,1234-2329,1210-2385,0,0,0
61,1140-2538,1121-2593,0,0,0
62,1163-2762,1234-2779,0,0,0
63,1448-2726,1509-2701,0,0,0
64,1686-2606,1747-2572,0,0,0
65,1860-2420,1851-2356,0,0,0
66,1792-2193,1761-2139,0,0,0
67,1649-1994,1579-1961,0,0,0
68,1380-1943,1305-1947,0,0,0
69,1098-1929,1023-1917,1031-1858,0,0
70,1199-1764,1258-1742,0,0,0
71,1431-1669,1501-1637,1501-1578,0,0
72,1322-1549,1266-1532,0,0,0
73,1096-1442,1043-1412,0,0,0
74,865-1351,816-1319,0,0,0
75,0,0,0,0,0
76,1557-3101,1459-3123,0,0,0
77,1192-3109,1101-3093,0,0,0
78,874-3045,797-3010,0,0,0
79,807-2805,886-2761,0,0,0
80,1108-2665,1194-2653,0,0,0
81,1414-2606,1494-2586,0,0,0
82,1708-2517,1790-2469,0,0,0
83,1732-2297,1643-2279,0,0,0
84,1421-2291,1325-2297,0,0,0
85,1071-2330,952-2344,0,0,0
86,686-2359,585-2341,0,0,0
87,371-2274,296-2227,296-2156,0,0
88,440-2021,543-2009,0,0,0
89,805-2015,897-2021,0,0,0
90,1155-2009,1242-1994,0,0,0
91,1470-1919,1552-1884,0,0,0
92,1743-1800,1803-1771,0,0,0
93,1803-1637,1723-1629,0,0,0
94,1502-1637,1426-1640,0,0,0
95,1210-1663,1132-1677,0,0,0
96,897-1696,821-1696,0,0,0
97,782-1578,855-1555,0,0,0
98,1045-1481,1114-1456,0,0,0
99,1305-1387,1357-1352,1328-1298,0,0
100,0,0,0,0,0
101,686-3115,752-3069,0,0,0
102,944-2929,1000-2883,0,0,0
103,1173-2762,1231-2718,0,0,0
104,1383-2600,1438-2554,0,0,0
105,1599-2441,1648-2402,0,0,0
106,1783-2284,1827-2240,0,0,0
107,1777-2065,1721-2039,0,0,0
108,1497-2054,1425-2069,0,0,0
109,1198-2118,1120-2137,0,0,0
110,884-2150,815-2156,0,0,0
111,597-2134,522-2114,0,0,0
112,313-2001,292-1931,0,0,0
113,428-1791,501-1783,0,0,0
114,722-1795,795-1788,0,0,0
115,1015-1754,1098-1745,0,0,0
116,1303-1668,1383-1642,0,0,0
117,1592-1569,1663-1545,0,0,0
118,1840-1459,1892-1423,0,0,0
119,1815-1292,1757-1270,0,0,0
120,1543-1283,1470-1304,0,0,0
121,1260-1342,1195-1339,0,0,0
122,1015-1283,969-1254,0,0,0
123,824-1145,782-1109,0,0,0
124,662-989,639-944,639-944,0,0
125,0,0,0,0,0
