,,,,,,,
PayKey,Mapid,mapnumber,inumber,Reward,RewardCount,iStar,
1,1,1!10,1,4,2,10,0
2,1,1!10,2,5,2,20,0
3,1,1!10,3,3,80,30,0
4,2,11!20,1,9,1,10,0
5,2,11!20,2,6,1,20,0
6,2,11!20,3,3,100,30,0
7,3,21!35,1,4,2,15,0
8,3,21!35,2,3,50,30,0
9,3,21!35,3,6,2,45,0
10,4,36!50,1,5,2,15,0
11,4,36!50,2,6,2,30,0
12,4,36!50,3,3,100,45,0
13,5,51!75,1,5,3,25,0
14,5,51!75,2,8,2,50,0
15,5,51!75,3,3,100,75,0
16,6,81!100,1,6,1,25,0
17,6,81!100,2,4,3,50,0
18,6,81!100,3,3,150,75,0
19,7,101!125,1,5,3,25,0
20,7,101!125,2,8,2,50,0
21,7,101!125,3,3,150,75,0
22,8,126!150,1,4,2,25,0
23,8,126!150,2,5,2,50,0
24,8,126!150,3,6,2,75,0
25,9,151!175,1,9,2,25,0
26,9,151!175,2,4,2,50,0
27,9,151!175,3,3,150,75,0
28,10,176!200,1,6,2,25,0
29,10,176!200,2,5,3,50,0
30,10,176!200,3,8,3,75,0
31,11,201!225,1,7,3,25,0
32,11,201!225,2,3,100,50,0
33,11,201!225,3,6,3,75,0
34,12,226!250,1,4,2,25,0
35,12,226!250,2,6,2,50,0
36,12,226!250,3,3,150,75,0
37,13,251!275,1,5,2,25,0
38,13,251!275,2,8,3,50,0
39,13,251!275,3,3,200,75,0
40,14,276!300,1,8,2,25,0
41,14,276!300,2,3,100,50,0
42,14,276!300,3,6,2,75,0
43,15,301!325,1,4,3,25,0
44,15,301!325,2,8,2,50,0
45,15,301!325,3,3,200,75,0
46,16,326!350,1,6,2,25,0
47,16,326!350,2,9,2,50,0
48,16,326!350,3,3,300,75,0
49,17,351!375,1,3,50,25,0
50,17,351!375,2,5,3,50,0
51,17,351!375,3,6,3,75,0
52,18,376!400,1,7,3,25,0
53,18,376!400,2,8,3,50,0
54,18,376!400,3,3,300,75,0
55,19,401!425,1,2,3000,25,0
56,19,401!425,2,5,2,50,0
57,19,401!425,3,6,2,75,0
58,20,426!450,1,7,2,25,0
59,20,426!450,2,6,2,50,0
60,20,426!450,3,10,1,75,0
61,21,451!475,1,11,1,25,0
62,21,451!475,2,2,3000,50,0
63,21,451!475,3,8,2,75,0
64,22,476!500,1,11,1,25,0
65,22,476!500,2,2,3000,50,0
66,22,476!500,3,3,50,75,0
67,23,501!525,1,11,1,25,0
68,23,501!525,2,2,3000,50,0
69,23,501!525,3,9,2,75,0
70,24,526!550,1,11,1,25,0
71,24,526!550,2,4,2,50,0
72,24,526!550,3,6,2,75,0
73,25,551!575,1,11,1,25,0
74,25,551!575,2,6,2,50,0
75,25,551!575,3,12,1,75,0
76,26,576!600,1,11,1,25,0
77,26,576!600,2,7,2,50,0
78,26,576!600,3,6,2,75,0
79,27,601!625,1,11,1,25,0
80,27,601!625,2,2,3000,50,0
81,27,601!625,3,3,100,75,0
82,28,626!650,1,11,1,25,0
83,28,626!650,2,2,3000,50,0
84,28,626!650,3,8,2,75,0
85,29,651!675,1,11,1,25,0
86,29,651!675,2,2,3000,50,0
87,29,651!675,3,3,100,75,0
88,30,676!700,1,11,1,25,0
89,30,676!700,2,2,3000,50,0
90,30,676!700,3,8,2,75,0
91,31,701!725,1,11,1,25,0
92,31,701!725,2,2,3000,50,0
93,31,701!725,3,12,1,75,0
94,32,725!750,1,11,1,25,0
95,32,725!750,2,2,5000,50,0
96,32,725!750,3,3,150,75,0
97,33,751!775,1,11,1,25,0
98,33,751!775,2,8,2,50,0
99,33,751!775,3,3,150,75,0
100,34,776!800,1,6,2,25,0
101,34,776!800,2,10,1,50,0
102,34,776!800,3,2,3000,75,0
103,35,801!825,1,11,1,25,0
104,35,801!825,2,2,3000,50,0
105,35,801!825,3,3,150,75,0
106,36,826!850,1,4,2,25,0
107,36,826!850,2,8,2,50,0
108,36,826!850,3,17,2,75,0
109,37,851!875,1,11,1,25,0
110,37,851!875,2,5,3,50,0
111,37,851!875,3,8,2,75,0
112,38,876!900,1,11,1,25,0
113,38,876!900,2,6,2,50,0
114,38,876!900,3,3,200,75,0
115,39,901!925,1,12,1,25,0
116,39,901!925,2,4,3,50,0
117,39,901!925,3,17,2,75,0
118,40,926!950,1,11,1,25,0
119,40,926!950,2,2,3000,50,0
120,40,926!950,3,9,2,75,0
121,41,951!975,1,4,3,25,0
122,41,951!975,2,10,1,50,0
123,41,951!975,3,8,2,75,0
124,42,976!1000,1,11,1,25,0
125,42,976!1000,2,5,3,50,0
126,42,976!1000,3,17,2,75,0
127,43,1001!1025,1,7,2,25,0
128,43,1001!1025,2,10,1,50,0
129,43,1001!1025,3,8,2,75,0
130,44,1026!1050,1,11,1,25,0
131,44,1026!1050,2,5,3,50,0
132,44,1026!1050,3,9,2,75,0
133,45,1051!1075,1,5,2,25,0
134,45,1051!1075,2,10,1,50,0
135,45,1051!1075,3,8,2,75,0
