KEY,1234567,,1234567,,1234567,,1234567,,
Key,Type3,Num3,Type7,Num7,Type14,Num14,Type23,Num23,
1,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
2,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
3,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
4,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
5,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
6,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
7,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
8,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
9,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
10,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
11,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
12,2|7,500|2,2|4|3,1000|2|10,2|5|3,2000|2|20,2|6|3,5000|3|30,
