编号,类型,关卡描述,描述
id,iType,sRemark,描述
1,1,5,描述
2,1,7,描述
3,1,5,描述
4,1,4,描述
5,1,5,描述
6,1,6,描述
7,1,4,描述
8,1,9,描述
9,1,5,描述
10,1,8,描述
11,3,8,描述
12,3,4,描述
13,3,6,描述
14,3,6,描述
15,5,10,描述
16,1,6,描述
17,1,2,描述
18,1,10,描述
19,1,5,描述
20,6,6,描述
21,1,2,描述
22,1,5,描述
23,1,4,描述
24,1,7,描述
25,1,4,描述
26,3,5,描述
27,1,7,描述
28,5,6,描述
29,1,8,描述
30,1,8,描述
31,3,8,描述
32,1,8,描述
33,1,8,描述
34,1,6,描述
35,6,8,描述
36,2,5,描述
37,2,8,描述
38,1,4,描述
39,2,6,描述
40,2,6,描述
41,4,3,描述
42,4,4,描述
43,3,5,描述
44,1,8,描述
45,3,4,描述
46,5,2,描述
47,1,10,描述
48,1,8,描述
49,4,7,描述
50,3,6,描述
51,1,3,描述
52,2,10,描述
53,4,6,描述
54,3,6,描述
55,4,7,描述
56,6,8,描述
57,3,2,描述
58,1,6,描述
59,3,4,描述
60,1,6,描述
61,4,8,描述
62,4,6,描述
63,3,4,描述
64,2,2,描述
65,5,8,描述
66,1,5,描述
67,1,5,描述
68,2,2,描述
69,4,7,描述
70,3,5,描述
71,1,4,描述
72,1,6,描述
73,1,2,描述
74,2,10,描述
75,1,7,描述
76,1,2,描述
77,1,4,描述
78,1,3,描述
79,2,5,描述
80,4,8,描述
81,1,4,描述
82,1,5,描述
83,1,7,描述
84,1,4,描述
85,1,5,描述
86,3,10,描述
87,1,7,描述
88,1,9,描述
89,1,3,描述
90,4,10,描述
91,1,6,描述
92,1,4,描述
93,5,8,描述
94,1,7,描述
95,1,10,描述
96,1,3,描述
97,1,5,描述
98,1,8,描述
99,1,6,描述
100,3,8,描述
101,1,5,描述
102,2,7,描述
103,1,2,描述
104,2,5,描述
105,2,6,描述
106,2,5,描述
107,2,6,描述
108,2,9,描述
109,2,4,描述
110,2,5,描述
111,2,6,描述
112,2,4,描述
113,2,7,描述
114,2,3,描述
115,2,4,描述
116,2,7,描述
117,2,5,描述
118,2,6,描述
119,2,5,描述
120,2,6,描述
121,2,5,描述
122,2,6,描述
123,2,3,描述
124,2,3,描述
125,2,6,描述
126,2,5,描述
127,2,6,描述
128,2,10,描述
129,2,10,描述
130,2,10,描述
131,2,9,描述
132,2,10,描述
133,2,4,描述
134,2,8,描述
135,2,10,描述
136,2,7,描述
137,2,9,描述
138,2,8,描述
139,2,10,描述
140,2,7,描述
141,2,10,描述
142,2,10,描述
143,2,3,描述
144,2,10,描述
145,2,7,描述
146,2,3,描述
147,2,10,描述
148,2,7,描述
149,2,8,描述
150,2,2,描述
151,2,3,描述
152,2,10,描述
153,2,7,描述
154,2,3,描述
155,2,1,描述
156,2,5,描述
157,2,4,描述
158,2,3,描述
159,2,4,描述
160,2,8,描述
161,2,7,描述
162,2,7,描述
163,2,6,描述
164,2,10,描述
165,2,5,描述
166,2,10,描述
167,2,3,描述
168,2,4,描述
169,2,6,描述
170,2,1,描述
171,2,3,描述
172,2,4,描述
173,2,8,描述
174,2,6,描述
175,2,6,描述
176,2,7,描述
177,2,5,描述
178,2,5,描述
179,2,6,描述
180,2,5,描述
181,2,4,描述
182,2,7,描述
183,2,2,描述
184,2,4,描述
185,2,8,描述
186,2,6,描述
187,2,6,描述
188,2,4,描述
189,2,5,描述
190,2,7,描述
191,2,1,描述
192,2,6,描述
193,2,4,描述
194,2,8,描述
195,2,4,描述
196,2,7,描述
197,2,4,描述
198,2,6,描述
199,2,5,描述
200,2,6,描述
201,2,7,描述
202,2,6,描述
203,2,4,描述
204,2,4,描述
205,2,8,描述
206,2,6,描述
207,2,7,描述
208,2,5,描述
209,2,8,描述
210,2,5,描述
211,2,8,描述
212,2,5,描述
213,2,7,描述
214,2,8,描述
215,2,3,描述
216,2,8,描述
217,2,3,描述
218,2,4,描述
219,2,8,描述
